Store,StoreId,BusinessDate,StartTime,EndTime,DepartmentId,RoleId,LaborValue,AdjustedFTEQty
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T16:00:00Z,2024-12-08T16:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T16:15:00Z,2024-12-08T16:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T16:30:00Z,2024-12-08T16:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T16:45:00Z,2024-12-08T16:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T17:00:00Z,2024-12-08T17:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T17:15:00Z,2024-12-08T17:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T17:30:00Z,2024-12-08T17:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T17:45:00Z,2024-12-08T17:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T18:00:00Z,2024-12-08T18:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T18:15:00Z,2024-12-08T18:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T18:30:00Z,2024-12-08T18:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T18:45:00Z,2024-12-08T18:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:00:00Z,2024-12-08T19:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:15:00Z,2024-12-08T19:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:30:00Z,2024-12-08T19:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:45:00Z,2024-12-08T19:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:00:00Z,2024-12-08T20:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:15:00Z,2024-12-08T20:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:30:00Z,2024-12-08T20:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:45:00Z,2024-12-08T20:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:00:00Z,2024-12-08T21:14:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:15:00Z,2024-12-08T21:29:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:30:00Z,2024-12-08T21:44:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:45:00Z,2024-12-08T21:59:00Z,1000002,1000102,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T06:30:00Z,2024-12-08T06:44:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T06:45:00Z,2024-12-08T06:59:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T18:45:00Z,2024-12-08T18:59:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:00:00Z,2024-12-08T19:14:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:15:00Z,2024-12-08T19:29:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:30:00Z,2024-12-08T19:44:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T19:45:00Z,2024-12-08T19:59:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:00:00Z,2024-12-08T20:14:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:15:00Z,2024-12-08T20:29:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:30:00Z,2024-12-08T20:44:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T20:45:00Z,2024-12-08T20:59:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:00:00Z,2024-12-08T21:14:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:15:00Z,2024-12-08T21:29:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:30:00Z,2024-12-08T21:44:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T21:45:00Z,2024-12-08T21:59:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T22:00:00Z,2024-12-08T22:14:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T22:15:00Z,2024-12-08T22:29:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T22:30:00Z,2024-12-08T22:44:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T22:45:00Z,2024-12-08T22:59:00Z,1000002,1000163,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T11:00:00Z,2024-12-08T11:14:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T11:15:00Z,2024-12-08T11:29:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T11:30:00Z,2024-12-08T11:44:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T11:45:00Z,2024-12-08T11:59:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:00:00Z,2024-12-08T12:14:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:15:00Z,2024-12-08T12:29:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:30:00Z,2024-12-08T12:44:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T12:45:00Z,2024-12-08T12:59:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:00:00Z,2024-12-08T13:14:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:15:00Z,2024-12-08T13:29:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:30:00Z,2024-12-08T13:44:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T13:45:00Z,2024-12-08T13:59:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T14:00:00Z,2024-12-08T14:14:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T14:15:00Z,2024-12-08T14:29:00Z,1000002,1000166,1,1
1846,1003447,2024-12-08T00:00:00Z,2024-12-08T14:30:00Z,2024-12-08T14:44:00Z,1000002,1000166,1,1
